ranking,title,location,overall score,teaching score,research score,citations score,industry income score,intl outlook score
93,Charit? - Universit?tsmedizin Berlin,Germany,67.1,47.3,49,97.8,100,74.6
94,University of Birmingham,United Kingdom,67.1,46.7,50.5,95.1,75.3,95.1
95,KTH Royal Institute of Technology,Sweden,66.9,52.3,58.3,81.5,97.3,82.9
96,Lund University,Sweden,66.9,48.4,58.4,86,99.8,79.3
97,University of Copenhagen,Denmark,66.6,49.1,51.8,92,90.4,79.3
98,Emory University,United States,66.3,53.9,46.2,95.3,83.6,67.4
99,University of Sheffield,United Kingdom,66.3,48.7,49.1,90.1,94,91.8
100,Penn State (Main campus),United States,66.2,54.5,62.3,83,70.9,57.6
101,University of T?bingen,Germany,66.2,47.8,55.1,89,99.8,73
102,Sungkyunkwan University (SKKU),South Korea,66.1,58.1,56.7,79.3,99.5,63.7
103,Yonsei University (Seoul campus),South Korea,66.1,57.5,56.2,84.4,99.9,47.2
104,Free University of Berlin,Germany,65.8,49.9,59.6,82.7,71,81.7
105,University of Bern,Switzerland,65.8,46.1,47.9,92.8,99.1,87.1
106,University of Warwick,United Kingdom,65.7,47.9,51.5,89,69.3,96.2
107,Erasmus University Rotterdam,Netherlands,65.6,37.2,53.3,96.7,88.7,88.5
108,Lomonosov Moscow State University,Russia,65.6,84.4,74.4,33.3,91.4,72.7
109,University of Helsinki,Finland,65.6,48.8,58,90.9,68.2,59.2
110,Aarhus University,Denmark,65.5,44.2,59.4,84.3,99.7,79.4
111,University of Vienna,Austria,65.5,48,61,78.6,74.5,94.6
112,Ghent University,Belgium,65.4,47.7,59.5,84.2,99.9,64.7
113,Rice University,United States,65.4,55.1,46.1,88.4,72.5,85.2
114,University of Maryland College Park,United States,65.4,49,57.7,92.1,71.6,49.4
115,University of Southampton,United Kingdom,65.3,47.2,47.7,91.2,72.7,96.7
116,McMaster University,Canada,65.2,41.2,50.2,93,100,87.6
117,Ohio State University (Main campus),United States,65.2,55,51.7,87.6,83.6,58.4
118,University of Alberta,Canada,65.2,48.2,56.7,79.3,100,90.4
119,University of Oslo,Norway,65.2,46.6,52.4,91.6,74.5,77.7
120,Tohoku University,Japan,65,69,69.6,53.1,100,59.9
121,University of G?ttingen,Germany,64.8,49.2,54,88.2,70.7,70.5
122,Michigan State University,United States,64.7,54.9,53.5,83.5,70,69.1
123,University of Leeds,United Kingdom,64.5,46.4,51,87,71.2,94.6
124,Technical University of Denmark,Denmark,64.4,49.8,46.8,84,99.8,92.2
125,Universit? de Montr?al,Canada,64.3,49.3,53.2,79.5,97.8,86.8
126,University of Basel,Switzerland,64.2,50.5,42.7,86,99.7,95.1
127,University of Rochester,United States,63.9,50.8,44.5,87.8,91.6,80.1
128,University of Adelaide,Australia,63.8,39.1,48.1,92.3,93.5,92
129,University of Freiburg,Germany,63.8,45.4,51.3,86.9,100,73.1
130,University of Florida,United States,63.6,54.4,56.8,79.1,89.9,50.7
131,Uppsala University,Sweden,63.6,44.2,55.4,83.4,96.1,74.6
132,Maastricht University,Netherlands,63.2,40.3,46.7,88.6,98.3,97.1
133,University of Hamburg,Germany,63.2,44.5,53.5,85.2,99.6,66.3
134,University of Lausanne,Switzerland,63,41,46,89.5,99,89.8
135,Wuhan University,China,63,52.8,46.3,90.1,98.2,40.9
136,University of Arizona,United States,62.7,48,52.8,86.3,81,54.5
137,University of Nottingham,United Kingdom,62.7,43.6,46.2,88.3,71.8,93.6
138,Vrije Universiteit Amsterdam,Netherlands,62.7,37.4,49.6,92.9,73,86.2
139,Trinity College Dublin,Ireland,62.5,43.3,47.7,85.8,83.5,91.6
140,Technical University of Berlin,Germany,62.4,45.4,54.7,79.5,99.7,71.4
141,Queen Mary University of London,United Kingdom,62.3,36.1,42.3,97.1,72.5,98
142,University of Pittsburgh-Pittsburgh campus,United States,62.3,48.6,45.7,93,76.2,49.8
143,Radboud University Nijmegen,Netherlands,62.2,38.4,50.4,90.4,81,79
144,Texas A&M University,United States,62.2,52.7,57.3,74.3,73.2,64.3
145,University of Colorado Boulder,United States,62.2,47,52.6,86.6,73.3,56.3
146,Beijing Normal University,China,62.1,57.5,48.4,79.9,80.7,52
147,University of Bologna,Italy,62.1,53.1,47.7,83.8,79.8,57
148,University of York,United Kingdom,62.1,42.4,44.2,90.6,66.8,92.9
149,The University of Western Australia,Australia,62,37.8,47.2,87.6,98.3,93
150,University of Barcelona,Spain,62,41.6,50.1,90.2,80.5,65.6
151,Pohang University of Science and Technology (POSTECH),South Korea,61.9,55.9,50,78.8,100,43
152,Harbin Institute of Technology,China,61.8,57.3,55.2,74.7,99.9,33.7
153,University of Auckland,New Zealand,61.8,40.4,46.4,87.8,87.4,88.5
154,Scuola Normale Superiore di Pisa,Italy,61.7,59.5,46.5,82.6,36.4,59
155,Tongji University,China,61.7,51.6,53.3,72.8,99,70.1
156,University of Technology Sydney,Australia,61.7,35.2,42.5,94.9,88.2,93
157,Newcastle University,United Kingdom,61.4,37.1,42.9,93,82.9,90.8
158,University of Cologne,Germany,61.4,42.9,47.5,86,96.5,70.5
159,Case Western Reserve University,United States,61.2,51.1,40.3,88.6,70.9,66.3
160,TU Dresden,Germany,61.1,47.2,50.6,78.6,99.8,65.9
161,University of Liverpool,United Kingdom,61.1,40.1,40.7,92.1,65.7,95.5
162,Osaka University,Japan,61,63.5,65.4,51.8,100,50.7
163,University of Virginia (Main campus),United States,60.9,49.3,42.2,87.3,85.2,60.1
164,University of Waterloo,Canada,60.9,41,48.9,83.1,77.1,88.4
165,University of W?rzburg,Germany,60.9,39.8,44.1,92.7,99.9,61
166,Huazhong University of Science and Technology,China,60.8,46.7,48.4,88.3,99.7,33
167,Karlsruhe Institute of Technology,Germany,60.8,45.8,56.9,71.1,100,73.1
168,Dartmouth College,United States,60.7,56.8,39.4,83.2,75.9,60.5
169,Lancaster University,United Kingdom,60.7,41.6,40.8,89.1,66.4,96.2
170,University of Antwerp,Belgium,60.7,38.1,44.6,89.9,98.5,75.3
171,University of Geneva,Switzerland,60.6,43.2,39,86.4,84,96.5
172,Durham University,United Kingdom,60.4,43.6,43.9,83.7,62.5,95.5
173,National Taiwan University (NTU),Taiwan,60.4,53.3,54.6,69,100,55
174,University of Exeter,United Kingdom,60.4,34.8,42.3,94.9,56,94.9
175,Universit? Catholique de Louvain,Belgium,60.2,39.4,49.4,81.1,94,82.6
176,King Fahd University of Petroleum and Minerals,Saudi Arabia,60.1,36.9,41.5,88.7,91.6,92.1
177,Pompeu Fabra University,Spain,60.1,36,44.6,90,83.9,82.2
178,Macquarie University,Australia,59.9,35.2,42.7,89.4,93.4,87.4
179,Tufts University,United States,59.8,50.7,36.3,89.1,72.7,63.1
180,University of Cape Town,South Africa,59.7,37.8,45.3,86.6,80.6,82.4
181,University of Macau,Macao,59.7,37.7,39,90.7,70.4,96.6
182,University of Twente,Netherlands,59.7,43.6,46.4,74.6,99.3,93.1
183,Southern University of Science and Technology (SUSTech),China,59.6,36.7,43.3,93.2,80.9,67.1
184,Universit? Paris Cit?,France,59.6,44.7,37.8,90.7,67,73.8
185,Eindhoven University of Technology,Netherlands,59.5,46.2,51,68,100,88.4
186,Sapienza University of Rome,Italy,59.5,53.4,50.8,73.7,93,42.6
187,University of St Andrews,United Kingdom,59.5,47.4,44,76.9,65.5,94.8
188,University of M?nster,Germany,59.4,44,47.9,83.9,82.2,54.7
189,Indiana University,United States,59.3,46.6,38.3,87.4,85,64
190,Korea University,South Korea,59.3,49.3,48.6,72.6,99.8,65.7
191,Abu Dhabi University,United Arab Emirates,59.2,45.1,39.2,87.4,25.4,97.9
192,Stockholm University,Sweden,59.2,32.8,49,89.3,65.1,79.6
193,University of Leicester,United Kingdom,59.2,34.9,34.9,96.1,69.7,95.5
194,University of Ottawa,Canada,59.2,37.2,44.7,85.1,81.4,87
195,Tokyo Institute of Technology,Japan,59.1,61.1,63.9,47.5,100,57.6
196,Aalto University,Finland,58.9,41.7,43.1,81.3,88.2,82.7
197,University of California Santa Cruz,United States,58.9,35.3,41.7,93.2,71.9,73.9
198,University of Notre Dame,United States,58.9,53.2,45.1,72.4,73.9,72.3
199,Ulm University,Germany,58.7,39.7,40.5,87.9,99.7,65.3
200,Universitat Aut?noma de Barcelona (UAB),Spain,58.7,43.9,42.4,84.1,72.4,70.3
